id,lang,category_id,category_zh,category_en,kind,text,amount,currency,note,date_spec,dates,anchor_date
food_dining-en-050,en,food_dining,餐饮美食,Food and Dining,expense,"Lunch buffet, 128 yuan",128,CNY,Buffet,anchor,2026-08-31,2026-08-31
transport-en-001,en,transport,交通出行,Transport,expense,"Subway commute today, 8 HKD",8,HKD,Subway,rel:0,2026-08-31,2026-08-31
transport-en-002,en,transport,交通出行,Transport,expense,"Taxi to work yesterday, 45 bucks",45,CNY,Taxi,rel:-1,2026-08-30,2026-08-31
transport-en-003,en,transport,交通出行,Transport,expense,"Filled up with 92-octane gas, 300 yuan",300,CNY,Gas,anchor,2026-08-31,2026-08-31
transport-en-004,en,transport,交通出行,Transport,expense,"Transit card top-up, 100 yuan",100,CNY,Transit card,anchor,2026-08-31,2026-08-31
transport-en-005,en,transport,交通出行,Transport,expense,"Didi ride to the mall, 38 bucks",38,CNY,Ride-hail,anchor,2026-08-31,2026-08-31
transport-en-006,en,transport,交通出行,Transport,expense,"Second-class high-speed rail ticket, 550 yuan",550,CNY,High-speed rail,anchor,2026-08-31,2026-08-31
transport-en-007,en,transport,交通出行,Transport,expense,"Parking fee at the complex, 20 HKD",20,HKD,Parking,anchor,2026-08-31,2026-08-31
transport-en-008,en,transport,交通出行,Transport,expense,"Shared bike commute every day this week, 3 bucks",3,CNY,Shared bike,week:0,2026-08-31|2026-09-01|2026-09-02|2026-09-03|2026-09-04|2026-09-05|2026-09-06,2026-08-31
transport-en-009,en,transport,交通出行,Transport,expense,"Airport shuttle bus ticket, 25 yuan",25,CNY,Airport bus,anchor,2026-08-31,2026-08-31
transport-en-010,en,transport,交通出行,Transport,expense,"Highway tolls, 120 bucks",120,CNY,Tolls,anchor,2026-08-31,2026-08-31
transport-en-011,en,transport,交通出行,Transport,expense,"Bus to downtown today and tomorrow, 2 yuan each",2,CNY,Bus,"rel:0,1",2026-08-31|2026-09-01,2026-08-31
transport-en-012,en,transport,交通出行,Transport,expense,"Ride-hail to the airport, 120 bucks",120,CNY,Ride-hail,anchor,2026-08-31,2026-08-31
transport-en-013,en,transport,交通出行,Transport,expense,"EV charging, 15 yuan",15,CNY,Charging,anchor,2026-08-31,2026-08-31
transport-en-014,en,transport,交通出行,Transport,expense,"Bullet train ticket, 180 bucks",180,CNY,Bullet train,anchor,2026-08-31,2026-08-31
transport-en-015,en,transport,交通出行,Transport,expense,"Taxi meter fare, 56 yuan",56,CNY,Taxi,anchor,2026-08-31,2026-08-31
transport-en-016,en,transport,交通出行,Transport,expense,"Motorcycle gas, 80 bucks",80,CNY,Gas,anchor,2026-08-31,2026-08-31
transport-en-017,en,transport,交通出行,Transport,expense,"Ferry across the harbor, 15 HKD",15,HKD,Ferry,anchor,2026-08-31,2026-08-31
transport-en-018,en,transport,交通出行,Transport,expense,"Designated driver home, 80 yuan",80,CNY,Designated driver,anchor,2026-08-31,2026-08-31
transport-en-019,en,transport,交通出行,Transport,expense,"Car rental for a day, 300 bucks",300,CNY,Car rental,anchor,2026-08-31,2026-08-31
transport-en-020,en,transport,交通出行,Transport,expense,"Monthly subway pass top-up, 200 yuan",200,CNY,Subway card,anchor,2026-08-31,2026-08-31
transport-en-021,en,transport,交通出行,Transport,expense,"Carpool to the next city, 120 bucks",120,CNY,Carpool,anchor,2026-08-31,2026-08-31
transport-en-022,en,transport,交通出行,Transport,expense,"Economy flight ticket, 1200 yuan",1200,CNY,Flight,anchor,2026-08-31,2026-08-31
transport-en-023,en,transport,交通出行,Transport,expense,"Monthly parking pass, 300 yuan",300,CNY,Monthly parking,anchor,2026-08-31,2026-08-31
transport-en-024,en,transport,交通出行,Transport,expense,"Coach bus back home, 150 bucks",150,CNY,Coach bus,anchor,2026-08-31,2026-08-31
transport-en-025,en,transport,交通出行,Transport,expense,"Shared e-bike today through day after tomorrow, 5 yuan",5,CNY,Shared e-bike,span:0:2,2026-08-31|2026-09-01|2026-09-02,2026-08-31
transport-en-026,en,transport,交通出行,Transport,expense,"Didi express this Friday, 28 bucks",28,CNY,Ride-hail,weekday:5,2026-09-04,2026-08-31
transport-en-027,en,transport,交通出行,Transport,expense,"Car maintenance, 500 yuan",500,CNY,Maintenance,anchor,2026-08-31,2026-08-31
transport-en-028,en,transport,交通出行,Transport,expense,"Ferry ticket to the island, 180 bucks",180,CNY,Ferry ticket,anchor,2026-08-31,2026-08-31
transport-en-029,en,transport,交通出行,Transport,expense,"Bus plus subway transfer, 6 yuan",6,CNY,Bus transfer,anchor,2026-08-31,2026-08-31
transport-en-030,en,transport,交通出行,Transport,expense,"Taxi to the rail station on Aug 15, 60 bucks",60,CNY,Taxi,ymd:2026-08-15,2026-08-15,2026-08-31
transport-en-031,en,transport,交通出行,Transport,expense,"ETC toll charge, 85 yuan",85,CNY,ETC,anchor,2026-08-31,2026-08-31
transport-en-032,en,transport,交通出行,Transport,expense,"Light rail to the suburbs, 20 bucks",20,CNY,Light rail,anchor,2026-08-31,2026-08-31
transport-en-033,en,transport,交通出行,Transport,expense,"Pooled ride-hail, 18 yuan",18,CNY,Carpool,anchor,2026-08-31,2026-08-31
transport-en-034,en,transport,交通出行,Transport,expense,"Bike tire patch, 15 bucks",15,CNY,Bike repair,anchor,2026-08-31,2026-08-31
transport-en-035,en,transport,交通出行,Transport,expense,"Sleeper train ticket, 320 yuan",320,CNY,Train ticket,anchor,2026-08-31,2026-08-31
transport-en-036,en,transport,交通出行,Transport,expense,"Daily parking at the complex, 10 yuan",10,CNY,Parking,anchor,2026-08-31,2026-08-31
transport-en-037,en,transport,交通出行,Transport,expense,"Tram ride, 3 HKD",3,HKD,Tram,anchor,2026-08-31,2026-08-31
transport-en-038,en,transport,交通出行,Transport,expense,"Taxi to the hospital, 35 bucks",35,CNY,Taxi,anchor,2026-08-31,2026-08-31
transport-en-039,en,transport,交通出行,Transport,expense,"Annual vehicle inspection, 280 yuan",280,CNY,Inspection,anchor,2026-08-31,2026-08-31
transport-en-040,en,transport,交通出行,Transport,expense,"Long-distance coach, 220 bucks",220,CNY,Long-distance bus,anchor,2026-08-31,2026-08-31
transport-en-041,en,transport,交通出行,Transport,expense,"Shared car for two hours, 60 yuan",60,CNY,Shared car,anchor,2026-08-31,2026-08-31
transport-en-042,en,transport,交通出行,Transport,expense,"Subway commute top-up every day last week, 50 yuan",50,CNY,Subway top-up,week:-1,2026-08-24|2026-08-25|2026-08-26|2026-08-27|2026-08-28|2026-08-29|2026-08-30,2026-08-31
transport-en-043,en,transport,交通出行,Transport,expense,"Taxi to the bar, 45 bucks",45,CNY,Taxi,anchor,2026-08-31,2026-08-31
transport-en-044,en,transport,交通出行,Transport,expense,"New tires for the car, 800 yuan",800,CNY,New tires,anchor,2026-08-31,2026-08-31
transport-en-045,en,transport,交通出行,Transport,expense,"MTR to Tsim Sha Tsui, 22 HKD",22,HKD,MTR,anchor,2026-08-31,2026-08-31
transport-en-046,en,transport,交通出行,Transport,expense,"Carpool ride, 25 yuan",25,CNY,Carpool,anchor,2026-08-31,2026-08-31
transport-en-047,en,transport,交通出行,Transport,expense,"Toll booth payment, 50 bucks",50,CNY,Tolls,anchor,2026-08-31,2026-08-31
transport-en-048,en,transport,交通出行,Transport,expense,"Flight fuel surcharge, 150 yuan",150,CNY,Flight surcharge,anchor,2026-08-31,2026-08-31
transport-en-049,en,transport,交通出行,Transport,expense,"E-bike registration, 100 bucks",100,CNY,Registration,anchor,2026-08-31,2026-08-31
transport-en-050,en,transport,交通出行,Transport,expense,"Bus to Shenzhen Bay, 45 HKD",45,HKD,Bus,anchor,2026-08-31,2026-08-31
groceries-en-001,en,groceries,商超购物,Groceries,expense,"Groceries at Yonghui yesterday, 90 yuan",90,CNY,Supermarket groceries,rel:-1,2026-08-30,2026-08-31
groceries-en-002,en,groceries,商超购物,Groceries,expense,"Stocked up on snacks at the convenience store, 75 bucks",75,CNY,Snack stock-up,anchor,2026-08-31,2026-08-31
groceries-en-003,en,groceries,商超购物,Groceries,expense,"Shopping at the department store, 500 HKD",500,HKD,Mall shopping,anchor,2026-08-31,2026-08-31
groceries-en-004,en,groceries,商超购物,Groceries,expense,"Steaks at the import supermarket, 220 yuan",220,CNY,Import supermarket,anchor,2026-08-31,2026-08-31
groceries-en-005,en,groceries,商超购物,Groceries,expense,"Cigarettes at the downstairs market, 45 bucks",45,CNY,Cigarettes,anchor,2026-08-31,2026-08-31
groceries-en-006,en,groceries,商超购物,Groceries,expense,"Sam's Club stock-up this Saturday, 680 yuan",680,CNY,Warehouse club,weekday:6,2026-09-05,2026-08-31
groceries-en-007,en,groceries,商超购物,Groceries,expense,"Laundry detergent at the supermarket, 69 bucks",69,CNY,Household goods,anchor,2026-08-31,2026-08-31
groceries-en-008,en,groceries,商超购物,Groceries,expense,"Souvenirs abroad on Aug 18, 120 USD",120,USD,Souvenirs,ymd:2026-08-18,2026-08-18,2026-08-31
groceries-en-009,en,groceries,商超购物,Groceries,expense,"Ingredients at the wet market, 150 bucks",150,CNY,Wet market,anchor,2026-08-31,2026-08-31
groceries-en-010,en,groceries,商超购物,Groceries,expense,"Daily necessities at Walmart, 180 yuan",180,CNY,Daily necessities,anchor,2026-08-31,2026-08-31
groceries-en-011,en,groceries,商超购物,Groceries,expense,"Water and tissues at 7-Eleven every day this week, 12 HKD",12,HKD,Convenience store,week:0,2026-08-31|2026-09-01|2026-09-02|2026-09-03|2026-09-04|2026-09-05|2026-09-06,2026-08-31
groceries-en-012,en,groceries,商超购物,Groceries,expense,"Rice, flour and cooking oil at RT-Mart, 260 bucks",260,CNY,Staples,anchor,2026-08-31,2026-08-31
groceries-en-013,en,groceries,商超购物,Groceries,expense,"Carton of farm eggs, 15 yuan",15,CNY,Eggs,anchor,2026-08-31,2026-08-31
groceries-en-014,en,groceries,商超购物,Groceries,expense,"Cosmetics at the duty-free shop, 800 HKD",800,HKD,Duty-free,anchor,2026-08-31,2026-08-31
groceries-en-015,en,groceries,商超购物,Groceries,expense,"Seafood at the fresh market, 350 bucks",350,CNY,Seafood,anchor,2026-08-31,2026-08-31
groceries-en-016,en,groceries,商超购物,Groceries,expense,"Toilet paper at the supermarket, 89 yuan",89,CNY,Paper goods,anchor,2026-08-31,2026-08-31
groceries-en-017,en,groceries,商超购物,Groceries,expense,"Bento and drinks at FamilyMart, 32 bucks",32,CNY,Convenience store,anchor,2026-08-31,2026-08-31
groceries-en-018,en,groceries,商超购物,Groceries,expense,"Fruit at ParknShop, 128 HKD",128,HKD,Fruit,anchor,2026-08-31,2026-08-31
groceries-en-019,en,groceries,商超购物,Groceries,expense,"Drinks at the corner shop today and tomorrow, 8 yuan each",8,CNY,Corner shop,"rel:0,1",2026-08-31|2026-09-01,2026-08-31
groceries-en-020,en,groceries,商超购物,Groceries,expense,"Bulk tissues and detergent, 199 bucks",199,CNY,Stock-up,anchor,2026-08-31,2026-08-31
groceries-en-021,en,groceries,商超购物,Groceries,expense,"Milk and bread at the supermarket, 56 yuan",56,CNY,Milk and bread,anchor,2026-08-31,2026-08-31
groceries-en-022,en,groceries,商超购物,Groceries,expense,"Coffee at Circle K, 18 HKD",18,HKD,Convenience store,anchor,2026-08-31,2026-08-31
groceries-en-023,en,groceries,商超购物,Groceries,expense,"Meat and veggies at the market every day last week, 120 bucks",120,CNY,Groceries,week:-1,2026-08-24|2026-08-25|2026-08-26|2026-08-27|2026-08-28|2026-08-29|2026-08-30,2026-08-31
groceries-en-024,en,groceries,商超购物,Groceries,expense,"Imported chocolate, 88 yuan",88,CNY,Import supermarket,anchor,2026-08-31,2026-08-31
groceries-en-025,en,groceries,商超购物,Groceries,expense,"Sale stock-up at the supermarket, 300 bucks",300,CNY,Sale stock-up,anchor,2026-08-31,2026-08-31
groceries-en-026,en,groceries,商超购物,Groceries,expense,"Umbrella at the convenience store, 25 yuan",25,CNY,Convenience store,anchor,2026-08-31,2026-08-31
groceries-en-027,en,groceries,商超购物,Groceries,expense,"Snacks at Wellcome, 98 HKD",98,HKD,Snacks,anchor,2026-08-31,2026-08-31
groceries-en-028,en,groceries,商超购物,Groceries,expense,"Dish soap and trash bags, 35 yuan",35,CNY,Daily necessities,anchor,2026-08-31,2026-08-31
groceries-en-029,en,groceries,商超购物,Groceries,expense,"Pork ribs at the fresh shop, 78 bucks",78,CNY,Fresh meat,anchor,2026-08-31,2026-08-31
groceries-en-030,en,groceries,商超购物,Groceries,expense,"Toothpaste and toothbrush, 42 yuan",42,CNY,Daily necessities,anchor,2026-08-31,2026-08-31
groceries-en-031,en,groceries,商超购物,Groceries,expense,"Ice pops at the convenience store today through day after tomorrow, 10 bucks",10,CNY,Convenience store,span:0:2,2026-08-31|2026-09-01|2026-09-02,2026-08-31
groceries-en-032,en,groceries,商超购物,Groceries,expense,"Imported fruit at the city supermarket, 168 yuan",168,CNY,Imported fruit,anchor,2026-08-31,2026-08-31
groceries-en-033,en,groceries,商超购物,Groceries,expense,"Slippers at the supermarket, 29 bucks",29,CNY,Daily necessities,anchor,2026-08-31,2026-08-31
groceries-en-034,en,groceries,商超购物,Groceries,expense,"Power bank at the convenience store, 99 yuan",99,CNY,Convenience store,anchor,2026-08-31,2026-08-31
groceries-en-035,en,groceries,商超购物,Groceries,expense,"Seafood at the wet market, 280 bucks",280,CNY,Seafood,anchor,2026-08-31,2026-08-31
groceries-en-036,en,groceries,商超购物,Groceries,expense,"Shampoo and body wash, 118 yuan",118,CNY,Toiletries,anchor,2026-08-31,2026-08-31
groceries-en-037,en,groceries,商超购物,Groceries,expense,"Face masks at the convenience store, 15 bucks",15,CNY,Convenience store,anchor,2026-08-31,2026-08-31
groceries-en-038,en,groceries,商超购物,Groceries,expense,"Steak at the boutique supermarket, 198 yuan",198,CNY,Import supermarket,anchor,2026-08-31,2026-08-31
groceries-en-039,en,groceries,商超购物,Groceries,expense,"Soy sauce and seasonings, 45 bucks",45,CNY,Seasonings,anchor,2026-08-31,2026-08-31
groceries-en-040,en,groceries,商超购物,Groceries,expense,"Gum at the convenience store, 10 yuan",10,CNY,Convenience store,anchor,2026-08-31,2026-08-31
groceries-en-041,en,groceries,商超购物,Groceries,expense,"Nut gift box, 128 bucks",128,CNY,Nuts,anchor,2026-08-31,2026-08-31
groceries-en-042,en,groceries,商超购物,Groceries,expense,"Sanitary pads, 56 yuan",56,CNY,Daily necessities,anchor,2026-08-31,2026-08-31
groceries-en-043,en,groceries,商超购物,Groceries,expense,"Bottled water, 5 bucks",5,CNY,Convenience store,anchor,2026-08-31,2026-08-31
groceries-en-044,en,groceries,商超购物,Groceries,expense,"Frozen dumplings, 38 yuan",38,CNY,Frozen food,anchor,2026-08-31,2026-08-31
groceries-en-045,en,groceries,商超购物,Groceries,expense,"Fruit at the wet market, 60 bucks",60,CNY,Fruit,anchor,2026-08-31,2026-08-31
groceries-en-046,en,groceries,商超购物,Groceries,expense,"Laundry detergent refill, 49 yuan",49,CNY,Household goods,anchor,2026-08-31,2026-08-31
groceries-en-047,en,groceries,商超购物,Groceries,expense,"Bread at the convenience store, 12 bucks",12,CNY,Convenience store,anchor,2026-08-31,2026-08-31
groceries-en-048,en,groceries,商超购物,Groceries,expense,"Bedding set, 299 yuan",299,CNY,Home textiles,anchor,2026-08-31,2026-08-31
groceries-en-049,en,groceries,商超购物,Groceries,expense,"Pots and pans, 150 bucks",150,CNY,Kitchenware,anchor,2026-08-31,2026-08-31
groceries-en-050,en,groceries,商超购物,Groceries,expense,"Snack gift pack, 88 yuan",88,CNY,Snacks,anchor,2026-08-31,2026-08-31
household_goods-en-001,en,household_goods,日用百货,Household Goods,expense,"Trash bags and dish soap yesterday, 35 yuan",35,CNY,Cleaning supplies,rel:-1,2026-08-30,2026-08-31
household_goods-en-002,en,household_goods,日用百货,Household Goods,expense,"Stocked up on toilet paper, 89 bucks",89,CNY,Paper goods,anchor,2026-08-31,2026-08-31
household_goods-en-003,en,household_goods,日用百货,Household Goods,expense,"Toiletries, 120 HKD",120,HKD,Toiletries,anchor,2026-08-31,2026-08-31
household_goods-en-004,en,household_goods,日用百货,Household Goods,expense,"Kitchen cleaning supplies this Wednesday, 56 yuan",56,CNY,Cleaning supplies,weekday:3,2026-09-02,2026-08-31
household_goods-en-005,en,household_goods,日用百货,Household Goods,expense,"Disposable face masks, 45 bucks",45,CNY,Face masks,anchor,2026-08-31,2026-08-31
household_goods-en-006,en,household_goods,日用百货,Household Goods,expense,"Umbrella and slippers, 78 yuan",78,CNY,Daily goods,anchor,2026-08-31,2026-08-31
household_goods-en-007,en,household_goods,日用百货,Household Goods,expense,"Storage boxes, 99 HKD",99,HKD,Storage,anchor,2026-08-31,2026-08-31
household_goods-en-008,en,household_goods,日用百货,Household Goods,expense,"Laundry detergent and fabric softener, 109 yuan",109,CNY,Household goods,anchor,2026-08-31,2026-08-31
household_goods-en-009,en,household_goods,日用百货,Household Goods,expense,"Mosquito repellent on Aug 12, 32 USD",32,USD,Mosquito repellent,ymd:2026-08-12,2026-08-12,2026-08-31
household_goods-en-010,en,household_goods,日用百货,Household Goods,expense,"Cling wrap and foil, 28 bucks",28,CNY,Kitchen supplies,anchor,2026-08-31,2026-08-31
household_goods-en-011,en,household_goods,日用百货,Household Goods,expense,"Toothpaste and toothbrush set, 42 yuan",42,CNY,Toiletries,anchor,2026-08-31,2026-08-31
household_goods-en-012,en,household_goods,日用百货,Household Goods,expense,"Mop and broom, 65 bucks",65,CNY,Cleaning tools,anchor,2026-08-31,2026-08-31
household_goods-en-013,en,household_goods,日用百货,Household Goods,expense,"Trash can, 25 yuan",25,CNY,Daily goods,anchor,2026-08-31,2026-08-31
household_goods-en-014,en,household_goods,日用百货,Household Goods,expense,"Clothes and pants hangers, 38 bucks",38,CNY,Storage,anchor,2026-08-31,2026-08-31
household_goods-en-015,en,household_goods,日用百货,Household Goods,expense,"Dish cloth and steel wool, 12 yuan",12,CNY,Cleaning,anchor,2026-08-31,2026-08-31
household_goods-en-016,en,household_goods,日用百货,Household Goods,expense,"Restocked tissue boxes today and tomorrow, 99 bucks",99,CNY,Paper goods,"rel:0,1",2026-08-31|2026-09-01,2026-08-31
household_goods-en-017,en,household_goods,日用百货,Household Goods,expense,"Toilet bowl cleaner, 18 yuan",18,CNY,Cleaning,anchor,2026-08-31,2026-08-31
household_goods-en-018,en,household_goods,日用百货,Household Goods,expense,"Disposable gloves, 15 bucks",15,CNY,Daily goods,anchor,2026-08-31,2026-08-31
household_goods-en-019,en,household_goods,日用百货,Household Goods,expense,"Kitchen cleaning cloths, 20 yuan",20,CNY,Cleaning,anchor,2026-08-31,2026-08-31
household_goods-en-020,en,household_goods,日用百货,Household Goods,expense,"Vacuum storage bags, 56 bucks",56,CNY,Storage,anchor,2026-08-31,2026-08-31
household_goods-en-021,en,household_goods,日用百货,Household Goods,expense,"Power strip, 49 yuan",49,CNY,Electrical accessories,anchor,2026-08-31,2026-08-31
household_goods-en-022,en,household_goods,日用百货,Household Goods,expense,"AA and AAA batteries, 25 bucks",25,CNY,Batteries,anchor,2026-08-31,2026-08-31
household_goods-en-023,en,household_goods,日用百货,Household Goods,expense,"LED light bulb, 30 yuan",30,CNY,Lighting,anchor,2026-08-31,2026-08-31
