分类名称,语言,自然表达,金额,币种,备注,日期规则,展开日期
餐饮美食,en,"McDonald's grilled chicken combo, 36 bucks",36,CNY,Fast food,anchor,2026-08-31
餐饮美食,zh,寿司店吃三文鱼刺身饭花了78HKD,78,HKD,日料,anchor,2026-08-31
餐饮美食,en,"Salmon don at the sushi place, 78 HKD",78,HKD,Japanese food,anchor,2026-08-31
餐饮美食,zh,蜜雪冰城买柠檬水花了6元,6,CNY,饮品,anchor,2026-08-31
餐饮美食,en,"Lemonade at Mixue, 6 yuan",6,CNY,Drinks,anchor,2026-08-31
餐饮美食,zh,昨晚自己煮面加煎蛋花了9块,9,CNY,自己做饭,anchor,2026-08-31
餐饮美食,en,"Cooked noodles with fried egg last night, 9 bucks",9,CNY,Home cooking,anchor,2026-08-31
餐饮美食,zh,深夜点了份黄焖鸡米饭花了26元,26,CNY,夜宵外卖,anchor,2026-08-31
餐饮美食,en,"Late-night braised chicken rice delivery, 26 yuan",26,CNY,Late-night takeout,anchor,2026-08-31
餐饮美食,zh,瑞幸买生椰拿铁花了19块,19,CNY,咖啡,anchor,2026-08-31
餐饮美食,en,"Luckin coconut latte, 19 bucks",19,CNY,Coffee,anchor,2026-08-31
餐饮美食,zh,今天到后天兰州拉面馆牛肉面加蛋都花22元,22,CNY,面食,span:0:2,2026-08-31|2026-09-01|2026-09-02
餐饮美食,en,"Beef noodle with egg today through day after tomorrow, 22 yuan",22,CNY,Noodles,span:0:2,2026-08-31|2026-09-01|2026-09-02
餐饮美食,zh,东北饺子馆吃晚餐花了45块,45,CNY,饺子,anchor,2026-08-31
餐饮美食,en,"Dinner at the dumpling house, 45 bucks",45,CNY,Dumplings,anchor,2026-08-31
餐饮美食,zh,港式茶餐厅下午茶冻柠茶加菠萝油花了58HKD,58,HKD,下午茶,anchor,2026-08-31
餐饮美食,en,"Afternoon tea: iced lemon tea and pineapple bun, 58 HKD",58,HKD,Afternoon tea,anchor,2026-08-31
餐饮美食,zh,冰淇淋店买两个甜筒花了16元,16,CNY,甜品,anchor,2026-08-31
餐饮美食,en,"Two ice cream cones, 16 yuan",16,CNY,Dessert,anchor,2026-08-31
餐饮美食,zh,绝味鸭脖买鸭货花了32块,32,CNY,卤味,anchor,2026-08-31
餐饮美食,en,"Duck snacks from Juewei, 32 bucks",32,CNY,Braised snacks,anchor,2026-08-31
餐饮美食,zh,水果店买切果盒花了28元,28,CNY,水果,anchor,2026-08-31
餐饮美食,en,"Pre-cut fruit box, 28 yuan",28,CNY,Fruit,anchor,2026-08-31
餐饮美食,zh,公司楼下买便当盒饭花了25块,25,CNY,盒饭,anchor,2026-08-31
餐饮美食,en,"Bento box downstairs, 25 bucks",25,CNY,Bento,anchor,2026-08-31
餐饮美食,zh,本周三外卖点了份意式披萨花了68元,68,CNY,披萨,weekday:3,2026-09-02
餐饮美食,en,"Ordered pizza takeout this Wednesday, 68 yuan",68,CNY,Pizza,weekday:3,2026-09-02
餐饮美食,zh,半夜饿了点串串香夜宵花了55块,55,CNY,夜宵,anchor,2026-08-31
餐饮美食,en,"Late-night skewers delivery, 55 bucks",55,CNY,Late-night snack,anchor,2026-08-31
餐饮美食,zh,粤式早茶点虾饺烧卖花了138元,138,CNY,早茶,anchor,2026-08-31
餐饮美食,en,"Shrimp dumplings and siu mai at yum cha, 138 yuan",138,CNY,Dim sum,anchor,2026-08-31
餐饮美食,zh,同事聚餐吃日式定食花了72块,72,CNY,定食,anchor,2026-08-31
餐饮美食,en,"Japanese set meal with coworkers, 72 bucks",72,CNY,Set meal,anchor,2026-08-31
餐饮美食,zh,好利来买半熟芝士蛋糕花了49元,49,CNY,甜品,anchor,2026-08-31
餐饮美食,en,"Half-baked cheesecake from Holiland, 49 yuan",49,CNY,Dessert,anchor,2026-08-31
餐饮美食,zh,肯德基买全家桶花了99块,99,CNY,快餐,anchor,2026-08-31
餐饮美食,en,"KFC family bucket, 99 bucks",99,CNY,Fast food,anchor,2026-08-31
餐饮美食,zh,8月20日居酒屋吃日料小酌花了280HKD,280,HKD,日料,ymd:2026-08-20,2026-08-20
餐饮美食,en,"Izakaya dinner on Aug 20, 280 HKD",280,HKD,Japanese food,ymd:2026-08-20,2026-08-20
餐饮美食,zh,丘大叔买鸭屎香柠檬茶花了18元,18,CNY,饮品,anchor,2026-08-31
餐饮美食,en,"Duck-shit fragrance lemon tea, 18 yuan",18,CNY,Drinks,anchor,2026-08-31
餐饮美食,zh,上周每天早餐店肠粉加粥花了12块,12,CNY,早餐,week:-1,2026-08-24|2026-08-25|2026-08-26|2026-08-27|2026-08-28|2026-08-29|2026-08-30
餐饮美食,en,"Rice rolls and congee for breakfast every day last week, 12 bucks",12,CNY,Breakfast,week:-1,2026-08-24|2026-08-25|2026-08-26|2026-08-27|2026-08-28|2026-08-29|2026-08-30
餐饮美食,zh,正宗兰州拉面吃大碗面花了20元,20,CNY,面食,anchor,2026-08-31
餐饮美食,en,"Big bowl of Lanzhou noodles, 20 yuan",20,CNY,Noodles,anchor,2026-08-31
餐饮美食,zh,杨国福吃麻辣烫午餐花了35块,35,CNY,麻辣烫,anchor,2026-08-31
餐饮美食,en,"Lunch at Yang Guofu malatang, 35 bucks",35,CNY,Malatang,anchor,2026-08-31
餐饮美食,zh,韩式烤肉店聚餐人均花了160元,160,CNY,聚餐,anchor,2026-08-31
餐饮美食,en,"Korean BBQ group dinner, my share 160 yuan",160,CNY,Group dinner,anchor,2026-08-31
餐饮美食,zh,夏天买半个西瓜花了28块,28,CNY,水果,anchor,2026-08-31
餐饮美食,en,"Half a watermelon in summer, 28 bucks",28,CNY,Fruit,anchor,2026-08-31
餐饮美食,zh,便利店买关东煮花了18元,18,CNY,便利店,anchor,2026-08-31
餐饮美食,en,"Oden at the convenience store, 18 yuan",18,CNY,Convenience store,anchor,2026-08-31
餐饮美食,zh,咖啡店买燕麦拿铁花了32块,32,CNY,咖啡,anchor,2026-08-31
餐饮美食,en,"Oat milk latte at the cafe, 32 bucks",32,CNY,Coffee,anchor,2026-08-31
餐饮美食,zh,粥铺点皮蛋瘦肉粥加油条花了15元,15,CNY,早餐,anchor,2026-08-31
餐饮美食,en,"Pork congee and fried dough sticks, 15 yuan",15,CNY,Breakfast,anchor,2026-08-31
餐饮美食,zh,汉堡王吃皇堡套餐花了41块,41,CNY,快餐,anchor,2026-08-31
餐饮美食,en,"Burger King Whopper combo, 41 bucks",41,CNY,Fast food,anchor,2026-08-31
餐饮美食,zh,泰式餐厅吃冬阴功汤饭花了68元,68,CNY,泰餐,anchor,2026-08-31
餐饮美食,en,"Tom yum rice at the Thai restaurant, 68 yuan",68,CNY,Thai food,anchor,2026-08-31
餐饮美食,zh,甜品店买双皮奶和姜撞奶花了30块,30,CNY,甜品,anchor,2026-08-31
餐饮美食,en,"Double-skin milk and ginger milk pudding, 30 bucks",30,CNY,Dessert,anchor,2026-08-31
餐饮美食,zh,下午茶点了蛋糕卷花了18元,18,CNY,下午茶,anchor,2026-08-31
餐饮美食,en,"Ordered a cake roll for afternoon tea, 18 yuan",18,CNY,Afternoon tea,anchor,2026-08-31
餐饮美食,zh,外卖点麻辣小龙虾花了188块,188,CNY,小龙虾,anchor,2026-08-31
餐饮美食,en,"Spicy crayfish takeout, 188 bucks",188,CNY,Crayfish,anchor,2026-08-31
餐饮美食,zh,茶餐厅冻柠茶走冰花了24HKD,24,HKD,饮品,anchor,2026-08-31
餐饮美食,en,"Iced lemon tea, no ice, 24 HKD",24,HKD,Drinks,anchor,2026-08-31
餐饮美食,zh,大前天包子铺买一笼小笼包花了16元,16,CNY,早餐,rel:-3,2026-08-28
餐饮美食,en,"Steamed buns at the shop three days ago, 16 yuan",16,CNY,Breakfast,rel:-3,2026-08-28
餐饮美食,zh,西餐厅吃牛排套餐花了268块,268,CNY,西餐,anchor,2026-08-31
餐饮美食,en,"Steak set at the Western restaurant, 268 bucks",268,CNY,Western food,anchor,2026-08-31
餐饮美食,zh,自助餐厅吃午餐花了128元,128,CNY,自助餐,anchor,2026-08-31
餐饮美食,en,"Lunch buffet, 128 yuan",128,CNY,Buffet,anchor,2026-08-31
交通出行,zh,今天坐地铁上下班花了8HKD,8,HKD,地铁,rel:0,2026-08-31
交通出行,en,"Subway commute today, 8 HKD",8,HKD,Subway,rel:0,2026-08-31
交通出行,zh,昨天打车去公司付了45块钱,45,CNY,打车,rel:-1,2026-08-30
交通出行,en,"Taxi to work yesterday, 45 bucks",45,CNY,Taxi,rel:-1,2026-08-30
交通出行,zh,给车加92号油花了300元,300,CNY,加油,anchor,2026-08-31
交通出行,en,"Filled up with 92-octane gas, 300 yuan",300,CNY,Gas,anchor,2026-08-31
交通出行,zh,公交卡充值100元,100,CNY,公交卡,anchor,2026-08-31
交通出行,en,"Transit card top-up, 100 yuan",100,CNY,Transit card,anchor,2026-08-31
交通出行,zh,打滴滴去商圈花了38块,38,CNY,网约车,anchor,2026-08-31
交通出行,en,"Didi ride to the mall, 38 bucks",38,CNY,Ride-hail,anchor,2026-08-31
交通出行,zh,买高铁二等座票花了550元,550,CNY,高铁,anchor,2026-08-31
交通出行,en,"Second-class high-speed rail ticket, 550 yuan",550,CNY,High-speed rail,anchor,2026-08-31
交通出行,zh,小区停车场交停车费20HKD,20,HKD,停车,anchor,2026-08-31
交通出行,en,"Parking fee at the complex, 20 HKD",20,HKD,Parking,anchor,2026-08-31
交通出行,zh,这一周每天骑共享单车通勤花了3块钱,3,CNY,共享单车,week:0,2026-08-31|2026-09-01|2026-09-02|2026-09-03|2026-09-04|2026-09-05|2026-09-06
交通出行,en,"Shared bike commute every day this week, 3 bucks",3,CNY,Shared bike,week:0,2026-08-31|2026-09-01|2026-09-02|2026-09-03|2026-09-04|2026-09-05|2026-09-06
交通出行,zh,机场大巴车票花了25元,25,CNY,机场大巴,anchor,2026-08-31
交通出行,en,"Airport shuttle bus ticket, 25 yuan",25,CNY,Airport bus,anchor,2026-08-31
交通出行,zh,高速过路费花了120块,120,CNY,过路费,anchor,2026-08-31
交通出行,en,"Highway tolls, 120 bucks",120,CNY,Tolls,anchor,2026-08-31
交通出行,zh,今天明天坐公交去市区都花2元,2,CNY,公交,"rel:0,1",2026-08-31|2026-09-01
交通出行,en,"Bus to downtown today and tomorrow, 2 yuan each",2,CNY,Bus,"rel:0,1",2026-08-31|2026-09-01
交通出行,zh,网约车去机场花了120块,120,CNY,网约车,anchor,2026-08-31
交通出行,en,"Ride-hail to the airport, 120 bucks",120,CNY,Ride-hail,anchor,2026-08-31
交通出行,zh,电动车充电花了15元,15,CNY,充电,anchor,2026-08-31
交通出行,en,"EV charging, 15 yuan",15,CNY,Charging,anchor,2026-08-31
交通出行,zh,买动车票花了180块,180,CNY,动车,anchor,2026-08-31
交通出行,en,"Bullet train ticket, 180 bucks",180,CNY,Bullet train,anchor,2026-08-31
交通出行,zh,出租车打表花了56元,56,CNY,出租车,anchor,2026-08-31
交通出行,en,"Taxi meter fare, 56 yuan",56,CNY,Taxi,anchor,2026-08-31
交通出行,zh,摩托车加油花了80块,80,CNY,加油,anchor,2026-08-31
交通出行,en,"Motorcycle gas, 80 bucks",80,CNY,Gas,anchor,2026-08-31
交通出行,zh,坐轮渡去对岸花了15HKD,15,HKD,轮渡,anchor,2026-08-31
交通出行,en,"Ferry across the harbor, 15 HKD",15,HKD,Ferry,anchor,2026-08-31
交通出行,zh,代驾回家花了80元,80,CNY,代驾,anchor,2026-08-31
交通出行,en,"Designated driver home, 80 yuan",80,CNY,Designated driver,anchor,2026-08-31
交通出行,zh,租车一天花了300块,300,CNY,租车,anchor,2026-08-31
交通出行,en,"Car rental for a day, 300 bucks",300,CNY,Car rental,anchor,2026-08-31
交通出行,zh,地铁月卡充值200元,200,CNY,地铁卡,anchor,2026-08-31
交通出行,en,"Monthly subway pass top-up, 200 yuan",200,CNY,Subway card,anchor,2026-08-31
交通出行,zh,顺风车去邻市花了120块,120,CNY,顺风车,anchor,2026-08-31
交通出行,en,"Carpool to the next city, 120 bucks",120,CNY,Carpool,anchor,2026-08-31
交通出行,zh,买飞机票经济舱花了1200元,1200,CNY,机票,anchor,2026-08-31
交通出行,en,"Economy flight ticket, 1200 yuan",1200,CNY,Flight,anchor,2026-08-31
交通出行,zh,停车场包月费300元,300,CNY,停车月费,anchor,2026-08-31
交通出行,en,"Monthly parking pass, 300 yuan",300,CNY,Monthly parking,anchor,2026-08-31
交通出行,zh,坐大巴回老家花了150块,150,CNY,大巴,anchor,2026-08-31
交通出行,en,"Coach bus back home, 150 bucks",150,CNY,Coach bus,anchor,2026-08-31
交通出行,zh,今天到后天骑共享电动车都花5元,5,CNY,共享电动车,span:0:2,2026-08-31|2026-09-01|2026-09-02
交通出行,en,"Shared e-bike today through day after tomorrow, 5 yuan",5,CNY,Shared e-bike,span:0:2,2026-08-31|2026-09-01|2026-09-02
交通出行,zh,本周五滴滴打快车花了28块,28,CNY,网约车,weekday:5,2026-09-04
交通出行,en,"Didi express this Friday, 28 bucks",28,CNY,Ride-hail,weekday:5,2026-09-04
交通出行,zh,给车做保养花了500元,500,CNY,保养,anchor,2026-08-31
交通出行,en,"Car maintenance, 500 yuan",500,CNY,Maintenance,anchor,2026-08-31
交通出行,zh,买船票去海岛玩花了180块,180,CNY,船票,anchor,2026-08-31
交通出行,en,"Ferry ticket to the island, 180 bucks",180,CNY,Ferry ticket,anchor,2026-08-31
交通出行,zh,公交转地铁一共花了6元,6,CNY,公交换乘,anchor,2026-08-31
交通出行,en,"Bus plus subway transfer, 6 yuan",6,CNY,Bus transfer,anchor,2026-08-31
交通出行,zh,8月15日打车去高铁站花了60块,60,CNY,打车,ymd:2026-08-15,2026-08-15
交通出行,en,"Taxi to the rail station on Aug 15, 60 bucks",60,CNY,Taxi,ymd:2026-08-15,2026-08-15
交通出行,zh,ETC扣费85元,85,CNY,ETC,anchor,2026-08-31
交通出行,en,"ETC toll charge, 85 yuan",85,CNY,ETC,anchor,2026-08-31
交通出行,zh,坐轻轨去郊区花了20块,20,CNY,轻轨,anchor,2026-08-31
交通出行,en,"Light rail to the suburbs, 20 bucks",20,CNY,Light rail,anchor,2026-08-31
交通出行,zh,网约车拼车花了18元,18,CNY,拼车,anchor,2026-08-31
交通出行,en,"Pooled ride-hail, 18 yuan",18,CNY,Carpool,anchor,2026-08-31
交通出行,zh,自行车补胎花了15块,15,CNY,修车,anchor,2026-08-31
交通出行,en,"Bike tire patch, 15 bucks",15,CNY,Bike repair,anchor,2026-08-31
交通出行,zh,买火车票卧铺花了320元,320,CNY,火车票,anchor,2026-08-31
交通出行,en,"Sleeper train ticket, 320 yuan",320,CNY,Train ticket,anchor,2026-08-31
交通出行,zh,小区停车费一天10元,10,CNY,停车,anchor,2026-08-31
交通出行,en,"Daily parking at the complex, 10 yuan",10,CNY,Parking,anchor,2026-08-31
交通出行,zh,坐叮叮车花了3HKD,3,HKD,叮叮车,anchor,2026-08-31
交通出行,en,"Tram ride, 3 HKD",3,HKD,Tram,anchor,2026-08-31
交通出行,zh,打车去医院花了35块,35,CNY,打车,anchor,2026-08-31
交通出行,en,"Taxi to the hospital, 35 bucks",35,CNY,Taxi,anchor,2026-08-31
交通出行,zh,汽车年检花了280元,280,CNY,年检,anchor,2026-08-31
交通出行,en,"Annual vehicle inspection, 280 yuan",280,CNY,Inspection,anchor,2026-08-31
交通出行,zh,坐长途客车花了220块,220,CNY,长途车,anchor,2026-08-31
交通出行,en,"Long-distance coach, 220 bucks",220,CNY,Long-distance bus,anchor,2026-08-31
交通出行,zh,共享汽车用了两小时花了60元,60,CNY,共享汽车,anchor,2026-08-31
交通出行,en,"Shared car for two hours, 60 yuan",60,CNY,Shared car,anchor,2026-08-31
交通出行,zh,上周每天地铁通勤刷了50元,50,CNY,地铁充值,week:-1,2026-08-24|2026-08-25|2026-08-26|2026-08-27|2026-08-28|2026-08-29|2026-08-30
交通出行,en,"Subway commute top-up every day last week, 50 yuan",50,CNY,Subway top-up,week:-1,2026-08-24|2026-08-25|2026-08-26|2026-08-27|2026-08-28|2026-08-29|2026-08-30
交通出行,zh,打车去酒吧花了45块,45,CNY,打车,anchor,2026-08-31
交通出行,en,"Taxi to the bar, 45 bucks",45,CNY,Taxi,anchor,2026-08-31
交通出行,zh,给车换轮胎花了800元,800,CNY,换轮胎,anchor,2026-08-31
交通出行,en,"New tires for the car, 800 yuan",800,CNY,New tires,anchor,2026-08-31
交通出行,zh,坐港铁去尖沙咀花了22HKD,22,HKD,港铁,anchor,2026-08-31
交通出行,en,"MTR to Tsim Sha Tsui, 22 HKD",22,HKD,MTR,anchor,2026-08-31
交通出行,zh,顺风车拼单花了25元,25,CNY,拼车,anchor,2026-08-31
交通出行,en,"Carpool ride, 25 yuan",25,CNY,Carpool,anchor,2026-08-31
交通出行,zh,过收费站交了50块,50,CNY,过路费,anchor,2026-08-31
交通出行,en,"Toll booth payment, 50 bucks",50,CNY,Tolls,anchor,2026-08-31
交通出行,zh,买机票燃油附加费150元,150,CNY,机票附加,anchor,2026-08-31
交通出行,en,"Flight fuel surcharge, 150 yuan",150,CNY,Flight surcharge,anchor,2026-08-31
交通出行,zh,电动车上牌花了100块,100,CNY,上牌,anchor,2026-08-31
交通出行,en,"E-bike registration, 100 bucks",100,CNY,Registration,anchor,2026-08-31
交通出行,zh,坐巴士去深圳湾花了45HKD,45,HKD,巴士,anchor,2026-08-31
交通出行,en,"Bus to Shenzhen Bay, 45 HKD",45,HKD,Bus,anchor,2026-08-31
商超购物,zh,昨天永辉超市买菜花了90元,90,CNY,超市买菜,rel:-1,2026-08-30
商超购物,en,"Groceries at Yonghui yesterday, 90 yuan",90,CNY,Supermarket groceries,rel:-1,2026-08-30
商超购物,zh,便利店囤零食花了75块,75,CNY,囤零食,anchor,2026-08-31
商超购物,en,"Stocked up on snacks at the convenience store, 75 bucks",75,CNY,Snack stock-up,anchor,2026-08-31
商超购物,zh,逛百货商场买东西花了500HKD,500,HKD,商场购物,anchor,2026-08-31
商超购物,en,"Shopping at the department store, 500 HKD",500,HKD,Mall shopping,anchor,2026-08-31
商超购物,zh,进口超市买牛排花了220元,220,CNY,进口超市,anchor,2026-08-31
商超购物,en,"Steaks at the import supermarket, 220 yuan",220,CNY,Import supermarket,anchor,2026-08-31
商超购物,zh,楼下超市买烟花了45块,45,CNY,买烟,anchor,2026-08-31
商超购物,en,"Cigarettes at the downstairs market, 45 bucks",45,CNY,Cigarettes,anchor,2026-08-31
商超购物,zh,本周六山姆会员店囤货花了680元,680,CNY,会员店,weekday:6,2026-09-05
商超购物,en,"Sam's Club stock-up this Saturday, 680 yuan",680,CNY,Warehouse club,weekday:6,2026-09-05
商超购物,zh,超市买洗衣液花了69块,69,CNY,日化,anchor,2026-08-31
商超购物,en,"Laundry detergent at the supermarket, 69 bucks",69,CNY,Household goods,anchor,2026-08-31
商超购物,zh,8月18日海外超市买伴手礼花了120USD,120,USD,伴手礼,ymd:2026-08-18,2026-08-18
商超购物,en,"Souvenirs abroad on Aug 18, 120 USD",120,USD,Souvenirs,ymd:2026-08-18,2026-08-18
商超购物,zh,菜市场买食材花了150块,150,CNY,菜市场,anchor,2026-08-31
商超购物,en,"Ingredients at the wet market, 150 bucks",150,CNY,Wet market,anchor,2026-08-31
商超购物,zh,沃尔玛买日用品花了180元,180,CNY,日用品,anchor,2026-08-31
商超购物,en,"Daily necessities at Walmart, 180 yuan",180,CNY,Daily necessities,anchor,2026-08-31
商超购物,zh,这一周每天711买水和纸巾花了12HKD,12,HKD,便利店,week:0,2026-08-31|2026-09-01|2026-09-02|2026-09-03|2026-09-04|2026-09-05|2026-09-06
商超购物,en,"Water and tissues at 7-Eleven every day this week, 12 HKD",12,HKD,Convenience store,week:0,2026-08-31|2026-09-01|2026-09-02|2026-09-03|2026-09-04|2026-09-05|2026-09-06
商超购物,zh,大润发买米面粮油花了260块,260,CNY,粮油,anchor,2026-08-31
商超购物,en,"Rice, flour and cooking oil at RT-Mart, 260 bucks",260,CNY,Staples,anchor,2026-08-31
商超购物,zh,超市买土鸡蛋一盒花了15元,15,CNY,鸡蛋,anchor,2026-08-31
商超购物,en,"Carton of farm eggs, 15 yuan",15,CNY,Eggs,anchor,2026-08-31
商超购物,zh,免税店买化妆品花了800HKD,800,HKD,免税店,anchor,2026-08-31
商超购物,en,"Cosmetics at the duty-free shop, 800 HKD",800,HKD,Duty-free,anchor,2026-08-31
商超购物,zh,生鲜超市买海鲜花了350块,350,CNY,海鲜,anchor,2026-08-31
商超购物,en,"Seafood at the fresh market, 350 bucks",350,CNY,Seafood,anchor,2026-08-31
商超购物,zh,超市买卫生纸花了89元,89,CNY,纸品,anchor,2026-08-31
商超购物,en,"Toilet paper at the supermarket, 89 yuan",89,CNY,Paper goods,anchor,2026-08-31
商超购物,zh,全家买便当和饮料花了32块,32,CNY,便利店,anchor,2026-08-31
商超购物,en,"Bento and drinks at FamilyMart, 32 bucks",32,CNY,Convenience store,anchor,2026-08-31
商超购物,zh,百佳超市买水果花了128HKD,128,HKD,水果,anchor,2026-08-31
商超购物,en,"Fruit at ParknShop, 128 HKD",128,HKD,Fruit,anchor,2026-08-31
商超购物,zh,今天明天小卖部买饮料都花8元,8,CNY,小卖部,"rel:0,1",2026-08-31|2026-09-01
商超购物,en,"Drinks at the corner shop today and tomorrow, 8 yuan each",8,CNY,Corner shop,"rel:0,1",2026-08-31|2026-09-01
商超购物,zh,仓储超市买纸巾洗衣液花了199块,199,CNY,囤货,anchor,2026-08-31
商超购物,en,"Bulk tissues and detergent, 199 bucks",199,CNY,Stock-up,anchor,2026-08-31
商超购物,zh,超市买牛奶面包花了56元,56,CNY,牛奶面包,anchor,2026-08-31
商超购物,en,"Milk and bread at the supermarket, 56 yuan",56,CNY,Milk and bread,anchor,2026-08-31
商超购物,zh,OK便利店买咖啡花了18HKD,18,HKD,便利店,anchor,2026-08-31
商超购物,en,"Coffee at Circle K, 18 HKD",18,HKD,Convenience store,anchor,2026-08-31
商超购物,zh,上周每天菜市场买肉和菜花了120块,120,CNY,买菜,week:-1,2026-08-24|2026-08-25|2026-08-26|2026-08-27|2026-08-28|2026-08-29|2026-08-30
商超购物,en,"Meat and veggies at the market every day last week, 120 bucks",120,CNY,Groceries,week:-1,2026-08-24|2026-08-25|2026-08-26|2026-08-27|2026-08-28|2026-08-29|2026-08-30
商超购物,zh,进口超市买巧克力花了88元,88,CNY,进口超市,anchor,2026-08-31
商超购物,en,"Imported chocolate, 88 yuan",88,CNY,Import supermarket,anchor,2026-08-31
商超购物,zh,超市搞促销囤货花了300块,300,CNY,促销囤货,anchor,2026-08-31
商超购物,en,"Sale stock-up at the supermarket, 300 bucks",300,CNY,Sale stock-up,anchor,2026-08-31
商超购物,zh,便利店买雨伞花了25元,25,CNY,便利店,anchor,2026-08-31
商超购物,en,"Umbrella at the convenience store, 25 yuan",25,CNY,Convenience store,anchor,2026-08-31
商超购物,zh,惠康超市买零食花了98HKD,98,HKD,零食,anchor,2026-08-31
商超购物,en,"Snacks at Wellcome, 98 HKD",98,HKD,Snacks,anchor,2026-08-31
商超购物,zh,超市买洗洁精和垃圾袋花了35元,35,CNY,日用品,anchor,2026-08-31
商超购物,en,"Dish soap and trash bags, 35 yuan",35,CNY,Daily necessities,anchor,2026-08-31
商超购物,zh,生鲜店买排骨花了78块,78,CNY,生鲜,anchor,2026-08-31
商超购物,en,"Pork ribs at the fresh shop, 78 bucks",78,CNY,Fresh meat,anchor,2026-08-31
商超购物,zh,超市买牙膏牙刷花了42元,42,CNY,日用品,anchor,2026-08-31
商超购物,en,"Toothpaste and toothbrush, 42 yuan",42,CNY,Daily necessities,anchor,2026-08-31
商超购物,zh,今天到后天便利店买冰棍都花10块,10,CNY,便利店,span:0:2,2026-08-31|2026-09-01|2026-09-02
商超购物,en,"Ice pops at the convenience store today through day after tomorrow, 10 bucks",10,CNY,Convenience store,span:0:2,2026-08-31|2026-09-01|2026-09-02
商超购物,zh,城市超市买进口水果花了168元,168,CNY,进口水果,anchor,2026-08-31
商超购物,en,"Imported fruit at the city supermarket, 168 yuan",168,CNY,Imported fruit,anchor,2026-08-31
商超购物,zh,超市买拖鞋花了29块,29,CNY,日用品,anchor,2026-08-31
商超购物,en,"Slippers at the supermarket, 29 bucks",29,CNY,Daily necessities,anchor,2026-08-31
商超购物,zh,便利店买充电宝花了99元,99,CNY,便利店,anchor,2026-08-31
商超购物,en,"Power bank at the convenience store, 99 yuan",99,CNY,Convenience store,anchor,2026-08-31
商超购物,zh,菜市场买海鲜花了280块,280,CNY,海鲜,anchor,2026-08-31
商超购物,en,"Seafood at the wet market, 280 bucks",280,CNY,Seafood,anchor,2026-08-31
商超购物,zh,超市买洗发水沐浴露花了118元,118,CNY,洗护,anchor,2026-08-31
